,TF,Target,Label
0,4,830,1
1,4,623,1
2,4,120,1
3,4,35,1
4,4,218,1
5,4,569,1
6,4,536,1
7,14,632,1
8,14,536,1
9,14,348,1
10,14,521,1
11,14,223,1
12,14,391,1
13,14,906,1
14,14,573,1
15,14,609,1
16,14,827,1
17,14,86,1
18,14,206,1
19,14,343,1
20,16,46,1
21,19,741,1
22,19,682,1
23,19,433,1
24,19,228,1
25,21,276,1
26,21,359,1
27,21,245,1
28,24,609,1
29,24,845,1
30,24,261,1
31,24,100,1
32,27,498,1
33,27,121,1
34,27,125,1
35,27,177,1
36,27,732,1
37,31,213,1
38,31,730,1
39,31,77,1
40,31,528,1
41,31,699,1
42,31,223,1
43,31,107,1
44,31,698,1
45,31,665,1
46,31,828,1
47,31,330,1
48,31,413,1
49,31,487,1
50,31,241,1
51,31,336,1
52,31,856,1
53,34,258,1
54,35,164,1
55,35,53,1
56,35,306,1
57,35,335,1
58,35,423,1
59,35,326,1
60,35,206,1
61,35,553,1
62,35,336,1
63,35,384,1
64,35,513,1
65,35,282,1
66,35,452,1
67,35,606,1
68,35,797,1
69,38,494,1
70,38,40,1
71,40,257,1
72,40,423,1
73,40,651,1
74,40,848,1
75,40,575,1
76,40,618,1
77,40,365,1
78,40,406,1
79,41,815,1
80,41,266,1
81,42,891,1
82,45,330,1
83,52,868,1
84,52,862,1
85,57,270,1
86,69,78,1
87,69,130,1
88,69,576,1
89,69,60,1
90,69,117,1
91,69,568,1
92,69,223,1
93,69,698,1
94,69,330,1
95,69,678,1
96,69,603,1
97,69,384,1
98,69,77,1
99,69,17,1
100,69,76,1
101,69,92,1
102,69,254,1
103,69,206,1
104,69,723,1
105,69,526,1
106,74,515,1
107,74,580,1
108,74,331,1
109,74,450,1
110,74,353,1
111,74,65,1
112,74,330,1
113,74,455,1
114,75,52,1
115,77,481,1
116,77,906,1
117,77,901,1
118,77,580,1
119,77,688,1
120,77,765,1
121,77,655,1
122,77,713,1
123,77,549,1
124,77,896,1
125,77,521,1
126,77,584,1
127,77,489,1
128,77,450,1
129,77,775,1
130,77,582,1
131,77,664,1
132,77,377,1
133,77,241,1
134,77,801,1
135,77,596,1
136,77,496,1
137,77,797,1
138,77,853,1
139,77,334,1
140,77,264,1
141,77,683,1
142,77,286,1
143,77,340,1
144,77,300,1
145,77,331,1
146,77,385,1
147,77,514,1
148,77,74,1
149,80,145,1
