,TF,Target,Label
0,1,184,1
1,1,298,1
2,6,763,1
3,6,75,1
4,6,360,1
5,6,393,1
6,6,943,1
7,10,618,1
8,10,492,1
9,14,942,1
10,20,682,1
11,20,602,1
12,20,104,1
13,26,410,1
14,29,281,1
15,37,828,1
16,38,202,1
17,38,360,1
18,38,811,1
19,38,113,1
20,38,518,1
21,38,352,1
22,38,614,1
23,38,319,1
24,38,817,1
25,38,538,1
26,40,905,1
27,44,287,1
28,48,393,1
29,48,763,1
30,54,445,1
31,54,301,1
32,54,828,1
33,60,759,1
34,60,861,1
35,60,837,1
36,66,393,1
37,66,943,1
38,67,614,1
39,67,674,1
40,68,477,1
41,68,367,1
42,68,423,1
43,68,338,1
44,68,17,1
45,68,870,1
46,68,807,1
47,68,140,1
48,68,826,1
49,68,60,1
50,68,472,1
51,68,692,1
52,68,660,1
53,68,780,1
54,68,915,1
55,68,430,1
56,68,149,1
57,68,363,1
58,68,703,1
59,68,7,1
60,68,585,1
61,68,327,1
62,68,777,1
63,68,199,1
64,68,209,1
65,68,71,1
66,68,708,1
67,68,335,1
68,68,189,1
69,68,249,1
70,68,894,1
71,68,281,1
72,68,134,1
73,68,637,1
74,68,98,1
75,68,924,1
76,68,764,1
77,68,649,1
78,68,159,1
79,68,311,1
80,68,734,1
81,68,255,1
82,68,226,1
83,68,84,1
84,68,368,1
85,68,218,1
86,68,656,1
87,68,372,1
88,68,707,1
89,68,87,1
90,68,328,1
91,68,18,1
92,68,668,1
93,68,72,1
94,68,258,1
95,68,783,1
96,68,805,1
97,68,48,1
98,68,79,1
99,68,714,1
100,68,245,1
101,68,239,1
102,68,332,1
103,68,447,1
104,68,728,1
105,68,906,1
106,68,297,1
107,68,212,1
108,68,674,1
109,68,651,1
110,68,33,1
111,68,625,1
112,68,664,1
113,68,504,1
114,68,44,1
115,68,179,1
116,68,300,1
117,68,114,1
118,68,484,1
119,68,308,1
120,68,941,1
121,68,289,1
122,68,264,1
123,68,793,1
124,68,61,1
125,68,719,1
126,68,399,1
127,69,281,1
128,69,227,1
129,70,709,1
130,71,663,1
131,75,6,1
132,75,817,1
133,75,848,1
134,75,671,1
135,78,393,1
136,81,276,1
137,81,328,1
138,85,942,1
139,85,585,1
140,86,513,1
141,86,156,1
142,86,832,1
143,86,18,1
144,86,586,1
145,86,138,1
146,86,427,1
147,86,306,1
148,86,588,1
149,86,147,1
150,86,836,1
151,92,598,1
152,93,682,1
153,93,821,1
154,101,817,1
155,101,765,1
156,104,20,1
157,104,393,1
158,104,905,1
159,104,529,1
160,108,265,1
161,109,292,1
162,113,799,1
163,113,538,1
164,113,793,1
165,113,518,1
166,113,940,1
167,116,870,1
168,119,281,1
169,119,49,1
170,119,283,1
171,119,473,1
172,119,349,1
173,119,481,1
174,119,200,1
175,119,115,1
176,119,146,1
177,119,685,1
178,119,680,1
179,119,939,1
180,119,467,1
181,119,759,1
182,119,186,1
183,119,72,1
184,119,291,1
185,119,34,1
186,119,321,1
187,119,837,1
188,119,692,1
189,119,389,1
190,119,236,1
191,119,504,1
192,119,69,1
193,119,861,1
194,119,631,1
195,119,232,1
196,119,60,1
197,119,757,1
198,119,367,1
199,119,46,1
200,119,378,1
201,119,906,1
202,119,893,1
203,119,415,1
204,119,274,1
205,119,722,1
206,119,189,1
207,119,689,1
208,119,586,1
209,119,486,1
210,119,139,1
211,119,864,1
212,119,617,1
213,119,335,1
214,119,356,1
215,119,376,1
216,119,85,1
217,119,479,1
218,119,377,1
219,119,563,1
220,119,29,1
221,119,888,1
222,119,181,1
223,119,713,1
224,119,56,1
225,119,614,1
226,119,159,1
227,119,840,1
228,119,434,1
229,119,40,1
230,119,491,1
231,119,79,1
232,119,529,1
233,119,656,1
234,119,775,1
235,119,172,1
236,119,96,1
237,119,420,1
238,119,824,1
239,119,583,1
240,119,212,1
241,119,413,1
242,119,121,1
243,119,223,1
244,119,592,1
245,119,719,1
246,122,328,1
247,124,767,1
248,132,682,1
249,133,828,1
250,133,281,1
251,139,472,1
252,139,371,1
253,140,906,1
254,140,572,1
255,140,532,1
256,140,444,1
257,140,747,1
258,140,292,1
259,140,238,1
260,140,264,1
261,140,355,1
262,140,652,1
263,140,614,1
264,140,213,1
265,140,202,1
266,140,321,1
267,140,133,1
268,140,776,1
269,140,328,1
270,140,692,1
271,140,913,1
272,145,914,1
273,146,661,1
274,146,177,1
275,156,682,1
276,156,738,1
277,156,151,1
278,156,905,1
279,156,284,1
280,156,828,1
281,156,614,1
282,156,393,1
283,158,285,1
284,158,522,1
285,158,746,1
286,158,711,1
287,158,859,1
288,158,181,1
289,158,62,1
290,158,701,1
291,158,406,1
292,158,19,1
293,158,582,1
294,158,748,1
295,158,274,1
296,158,278,1
297,158,507,1
298,158,886,1
299,158,167,1
300,158,236,1
301,158,687,1
302,158,465,1
303,158,18,1
304,158,56,1
305,158,393,1
306,158,497,1
307,158,197,1
308,158,354,1
309,158,364,1
310,158,405,1
311,158,660,1
312,158,725,1
313,158,360,1
314,158,922,1
315,158,884,1
316,158,140,1
317,158,85,1
318,158,179,1
319,158,861,1
320,158,427,1
321,158,766,1
322,158,81,1
323,158,107,1
324,158,578,1
325,158,232,1
326,158,883,1
327,158,640,1
328,158,667,1
329,158,260,1
330,158,891,1
331,158,305,1
332,158,595,1
333,158,509,1
334,158,221,1
335,158,284,1
336,158,159,1
337,158,641,1
338,158,60,1
339,158,297,1
340,158,381,1
341,158,214,1
342,158,634,1
343,158,54,1
344,158,204,1
345,158,935,1
346,158,162,1
347,158,391,1
348,158,191,1
349,158,547,1
350,158,71,1
351,158,719,1
352,158,157,1
353,158,300,1
354,158,88,1
355,158,272,1
356,158,913,1
357,158,138,1
358,158,586,1
359,158,281,1
360,158,369,1
361,158,84,1
362,158,617,1
363,158,800,1
364,158,42,1
365,158,352,1
366,158,37,1
367,158,938,1
368,158,101,1
369,158,560,1
370,158,823,1
371,158,271,1
372,158,339,1
373,158,377,1
374,158,648,1
375,158,556,1
376,158,675,1
377,158,269,1
378,158,531,1
379,158,669,1
380,158,7,1
381,158,511,1
382,158,189,1
383,158,355,1
384,158,530,1
385,158,86,1
386,158,677,1
387,158,736,1
388,158,306,1
389,158,299,1
390,158,870,1
391,158,83,1
392,158,308,1
393,158,561,1
394,158,454,1
395,158,322,1
396,158,764,1
397,158,569,1
398,158,745,1
399,158,752,1
400,158,372,1
401,158,249,1
402,159,493,1
403,159,357,1
404,159,781,1
405,159,132,1
406,168,834,1
407,169,1,1
408,169,311,1
409,169,445,1
410,176,244,1
411,176,455,1
412,176,764,1
413,177,281,1
414,177,644,1
415,177,186,1
416,177,32,1
