,TF,Target,Label
0,0,780,1
1,0,706,1
2,2,822,1
3,2,298,1
4,4,688,1
5,4,1038,1
6,4,1069,1
7,4,1290,1
8,5,1175,1
9,23,563,1
10,31,210,1
11,31,818,1
12,31,936,1
13,31,702,1
14,31,53,1
15,31,1204,1
16,31,957,1
17,31,365,1
18,31,829,1
19,31,813,1
20,31,497,1
21,31,819,1
22,31,905,1
23,31,616,1
24,31,434,1
25,31,1120,1
26,31,440,1
27,31,176,1
28,31,925,1
29,31,521,1
30,31,1246,1
31,34,688,1
32,34,108,1
33,34,173,1
34,34,1038,1
35,34,4,1
36,44,108,1
37,44,541,1
38,47,265,1
39,52,1053,1
40,57,925,1
41,57,1242,1
42,57,893,1
43,68,871,1
44,81,359,1
45,81,131,1
46,81,929,1
47,81,170,1
48,81,925,1
49,81,921,1
50,81,367,1
51,81,1023,1
52,81,646,1
53,81,1108,1
54,81,1225,1
55,81,354,1
56,81,1080,1
57,81,1208,1
58,81,1032,1
59,81,343,1
60,81,301,1
61,81,351,1
62,81,86,1
63,81,1061,1
64,81,965,1
65,81,1184,1
66,81,1015,1
67,81,334,1
68,81,200,1
69,81,65,1
70,81,437,1
71,81,563,1
72,81,791,1
73,81,641,1
74,81,1178,1
75,81,422,1
76,82,324,1
77,82,477,1
78,82,590,1
79,82,1297,1
80,82,879,1
81,82,538,1
82,82,612,1
83,82,505,1
84,82,150,1
85,82,941,1
86,88,1123,1
87,88,706,1
88,88,0,1
89,98,952,1
90,98,1112,1
91,98,749,1
92,98,250,1
93,98,719,1
94,98,138,1
95,98,186,1
96,98,859,1
97,98,420,1
98,98,6,1
99,98,293,1
100,98,226,1
101,98,688,1
102,98,369,1
103,98,990,1
104,98,906,1
105,98,1208,1
106,104,390,1
107,105,881,1
108,105,902,1
109,105,907,1
110,105,477,1
111,105,1237,1
112,105,590,1
113,105,879,1
114,105,1066,1
115,105,849,1
116,105,548,1
117,105,467,1
118,106,925,1
119,106,1038,1
120,106,628,1
121,106,182,1
122,106,146,1
123,106,9,1
124,106,905,1
