,TF,Target,Label
0,1,909,1
1,1,582,1
2,2,1038,1
3,2,773,1
4,2,813,1
5,2,1057,1
6,2,723,1
7,2,1219,1
8,2,247,1
9,2,317,1
10,8,1574,1
11,8,716,1
12,8,1130,1
13,9,515,1
14,9,1111,1
15,9,1003,1
16,9,1390,1
17,9,991,1
18,9,828,1
19,9,1351,1
20,9,873,1
21,9,288,1
22,9,1399,1
23,9,1600,1
24,9,812,1
25,9,1056,1
26,9,1101,1
27,9,1309,1
28,9,50,1
29,9,140,1
30,9,564,1
31,9,317,1
32,9,1534,1
33,9,1037,1
34,9,760,1
35,9,27,1
36,9,1608,1
37,9,197,1
38,9,547,1
39,9,216,1
40,9,1014,1
41,9,1408,1
42,9,392,1
43,9,1419,1
44,9,1022,1
45,9,1460,1
46,9,1363,1
47,9,1288,1
48,9,1203,1
49,9,1258,1
50,9,1221,1
51,9,168,1
52,9,128,1
53,9,1524,1
54,9,290,1
55,9,1387,1
56,9,563,1
57,9,838,1
58,9,320,1
59,9,723,1
60,9,1069,1
61,9,1379,1
62,9,275,1
63,9,1576,1
64,9,1284,1
65,9,1474,1
66,9,1287,1
67,9,1336,1
68,9,352,1
69,9,1436,1
70,9,703,1
71,9,202,1
72,9,248,1
73,9,1433,1
74,9,959,1
75,9,1560,1
76,9,356,1
77,9,1240,1
78,9,220,1
79,9,422,1
80,9,507,1
81,9,222,1
82,9,238,1
83,9,1224,1
84,9,527,1
85,9,1211,1
86,9,391,1
87,9,682,1
88,9,667,1
89,9,743,1
90,9,820,1
91,9,224,1
92,9,1071,1
93,9,1282,1
94,9,712,1
95,9,774,1
96,9,1089,1
97,9,382,1
98,9,412,1
99,9,1031,1
100,9,21,1
101,9,81,1
102,9,1371,1
103,9,942,1
104,9,1459,1
105,9,119,1
106,9,858,1
107,9,699,1
108,9,915,1
109,9,779,1
110,9,1422,1
111,9,101,1
112,9,919,1
113,9,1144,1
114,9,584,1
115,9,668,1
116,9,567,1
117,9,1496,1
118,9,453,1
119,9,847,1
120,9,449,1
121,9,71,1
122,9,1499,1
123,9,1010,1
124,9,595,1
125,9,96,1
126,9,926,1
127,9,857,1
128,9,606,1
129,9,1130,1
130,9,1575,1
131,9,1161,1
132,9,815,1
133,9,983,1
134,9,500,1
135,9,215,1
136,9,769,1
137,9,1533,1
138,9,1329,1
139,9,830,1
140,9,1463,1
141,9,544,1
142,9,1296,1
143,9,545,1
144,9,996,1
145,9,48,1
146,9,456,1
147,9,1241,1
148,9,904,1
149,17,1249,1
150,17,206,1
151,17,896,1
152,17,155,1
153,17,716,1
154,17,688,1
155,17,832,1
156,17,1152,1
157,18,618,1
158,18,601,1
159,18,557,1
160,18,1355,1
161,18,1219,1
162,18,459,1
163,18,1001,1
164,21,739,1
165,21,678,1
166,21,144,1
167,21,721,1
168,21,612,1
169,21,1455,1
170,21,1210,1
171,21,1029,1
172,21,1404,1
173,21,1049,1
174,21,79,1
175,21,1301,1
176,21,1079,1
177,21,698,1
178,21,532,1
179,21,120,1
180,21,499,1
181,21,459,1
182,21,914,1
183,21,33,1
184,21,1247,1
185,21,600,1
186,21,1042,1
187,21,1312,1
188,21,1177,1
189,21,380,1
190,21,485,1
191,21,1159,1
192,21,1138,1
193,21,1048,1
194,21,481,1
195,21,274,1
196,21,700,1
197,21,1486,1
198,21,919,1
199,21,786,1
200,21,696,1
201,21,1087,1
202,21,478,1
203,21,48,1
204,21,317,1
205,21,1067,1
206,21,1520,1
207,21,1141,1
208,21,652,1
209,21,681,1
210,21,899,1
211,21,1314,1
212,21,1017,1
213,21,585,1
214,21,80,1
215,21,567,1
216,21,1236,1
217,27,1085,1
218,35,21,1
219,35,557,1
220,35,1332,1
221,35,505,1
222,35,919,1
223,35,1548,1
224,43,105,1
225,43,317,1
226,43,1011,1
227,43,1575,1
228,43,765,1
229,44,1291,1
230,44,449,1
231,44,461,1
232,44,593,1
233,44,545,1
234,44,1271,1
235,44,590,1
236,44,1104,1
237,44,1520,1
238,44,1125,1
239,47,983,1
240,47,1447,1
241,47,890,1
242,47,903,1
243,47,1111,1
244,47,192,1
245,47,1455,1
246,47,987,1
247,47,121,1
248,48,1456,1
249,48,575,1
250,48,1037,1
251,48,762,1
252,48,926,1
253,48,1118,1
254,48,1370,1
255,48,1064,1
256,48,336,1
257,48,1613,1
258,48,557,1
259,48,1249,1
260,48,509,1
261,48,951,1
262,48,254,1
263,48,1501,1
264,48,175,1
265,48,787,1
266,48,499,1
267,48,654,1
268,48,1332,1
269,48,820,1
270,48,511,1
271,48,340,1
272,48,1341,1
273,48,406,1
274,48,132,1
275,48,417,1
276,48,684,1
277,48,1077,1
278,48,192,1
279,48,1592,1
280,48,891,1
281,48,664,1
282,48,1472,1
283,48,1549,1
284,48,425,1
285,48,260,1
286,48,1435,1
287,48,757,1
288,48,824,1
289,48,1199,1
290,48,157,1
291,48,810,1
292,48,1074,1
293,48,1049,1
294,48,329,1
295,48,326,1
296,48,1438,1
297,48,606,1
298,48,567,1
299,48,716,1
300,48,467,1
301,48,114,1
302,48,1129,1
303,48,151,1
304,48,771,1
305,48,530,1
306,48,937,1
307,48,601,1
308,48,1004,1
309,48,649,1
310,48,523,1
311,48,1588,1
312,48,231,1
313,48,408,1
314,48,796,1
315,48,393,1
316,48,24,1
317,48,168,1
318,48,927,1
319,48,538,1
320,48,1214,1
321,48,547,1
322,48,1130,1
323,48,974,1
324,48,708,1
325,48,831,1
326,50,69,1
327,50,284,1
328,50,1578,1
329,52,120,1
330,52,1043,1
331,58,601,1
332,58,1182,1
333,58,1576,1
334,58,649,1
335,58,324,1
336,58,929,1
337,58,1273,1
338,58,284,1
339,58,244,1
340,58,1054,1
341,59,432,1
342,64,1217,1
343,64,1451,1
344,64,1542,1
345,64,1580,1
346,64,1028,1
347,64,675,1
348,64,996,1
349,64,1601,1
350,64,1419,1
351,64,1149,1
352,64,411,1
353,64,975,1
354,64,284,1
355,64,1331,1
356,64,1439,1
357,64,1573,1
358,68,374,1
359,69,189,1
360,69,317,1
361,69,668,1
362,69,1555,1
363,69,653,1
364,69,601,1
365,69,447,1
366,69,903,1
367,69,577,1
368,69,1222,1
369,69,1256,1
370,69,1471,1
371,69,1092,1
372,69,898,1
373,69,566,1
374,69,808,1
375,69,80,1
376,69,926,1
377,70,1494,1
378,70,955,1
379,70,1088,1
380,70,1612,1
381,77,319,1
382,77,404,1
383,77,1056,1
384,77,1291,1
385,77,601,1
386,80,1092,1
387,80,1221,1
388,80,1222,1
389,80,577,1
390,80,926,1
391,80,898,1
392,80,808,1
393,80,1367,1
394,88,678,1
395,88,868,1
396,88,1241,1
397,88,48,1
398,91,1575,1
399,91,248,1
400,91,1464,1
401,91,1364,1
402,91,1054,1
403,91,678,1
404,91,636,1
405,91,723,1
406,91,653,1
407,91,1400,1
408,91,706,1
409,91,1038,1
410,94,688,1
411,94,1111,1
412,94,1578,1
413,94,1589,1
414,94,1422,1
415,94,509,1
416,94,849,1
417,94,1467,1
418,94,896,1
419,94,210,1
420,94,1152,1
421,94,1495,1
422,98,676,1
423,98,1519,1
424,98,461,1
425,98,404,1
426,98,1314,1
427,98,716,1
428,98,957,1
429,98,884,1
430,98,1585,1
431,102,926,1
432,105,1291,1
433,105,817,1
434,119,563,1
435,119,1043,1
436,119,389,1
437,119,1199,1
438,119,1291,1
439,119,69,1
440,119,668,1
441,119,438,1
442,119,1054,1
443,119,189,1
444,120,52,1
445,120,1249,1
446,121,1326,1
447,121,1219,1
448,121,192,1
449,121,566,1
450,121,866,1
