,TF,Target,Label
0,2,641,1
1,7,108,1
2,7,683,1
3,7,1138,1
4,7,325,1
5,7,725,1
6,7,525,1
7,7,354,1
8,7,871,1
9,7,605,1
10,7,1131,1
11,7,1142,1
12,7,607,1
13,7,744,1
14,7,366,1
15,7,398,1
16,7,665,1
17,7,373,1
18,7,795,1
19,7,552,1
20,7,936,1
21,7,625,1
22,7,498,1
23,7,94,1
24,7,1165,1
25,7,793,1
26,7,474,1
27,7,473,1
28,7,798,1
29,7,350,1
30,7,48,1
31,7,171,1
32,7,457,1
33,18,490,1
34,18,483,1
35,18,977,1
36,20,198,1
37,20,484,1
38,20,483,1
39,20,977,1
40,20,1147,1
41,22,4,1
42,22,725,1
43,22,795,1
44,22,108,1
45,22,670,1
46,22,884,1
47,22,350,1
48,22,325,1
49,22,366,1
50,22,483,1
51,22,561,1
52,22,605,1
53,22,871,1
54,22,678,1
55,22,793,1
56,22,474,1
57,22,628,1
58,22,834,1
59,22,288,1
60,22,1147,1
61,22,9,1
62,22,383,1
63,22,367,1
64,22,373,1
65,22,665,1
66,22,330,1
67,22,552,1
68,22,1131,1
69,22,256,1
70,22,125,1
71,40,933,1
72,40,858,1
73,40,993,1
74,40,1156,1
75,40,847,1
76,40,78,1
77,52,484,1
78,62,152,1
79,62,743,1
80,62,1021,1
81,62,736,1
82,68,162,1
83,68,790,1
84,68,480,1
85,68,858,1
86,68,504,1
87,68,1023,1
88,68,251,1
89,68,803,1
90,68,1156,1
91,68,1072,1
92,68,1164,1
93,68,228,1
94,68,106,1
95,68,1145,1
96,68,290,1
97,68,586,1
98,68,828,1
99,68,901,1
100,68,849,1
101,68,839,1
102,68,181,1
103,68,170,1
104,68,890,1
105,68,923,1
106,68,283,1
107,68,588,1
108,68,1077,1
109,68,507,1
110,68,76,1
111,68,955,1
112,68,576,1
113,68,857,1
114,76,930,1
115,76,314,1
116,76,743,1
117,76,811,1
118,76,61,1
119,76,135,1
120,76,781,1
121,76,846,1
122,76,779,1
123,76,596,1
124,76,1156,1
125,76,980,1
126,76,290,1
127,76,220,1
128,76,1177,1
129,78,1052,1
130,78,927,1
131,78,1077,1
132,78,853,1
133,78,44,1
134,78,1039,1
135,78,847,1
136,78,439,1
137,78,312,1
138,78,261,1
139,78,1025,1
140,78,667,1
141,78,1057,1
142,78,1096,1
143,99,714,1
144,99,901,1
145,100,1196,1
146,100,517,1
147,100,1125,1
148,100,857,1
149,112,1027,1
150,112,1192,1
151,130,677,1
152,130,483,1
153,150,53,1
154,150,258,1
155,150,252,1
156,150,66,1
157,150,207,1
158,150,877,1
159,151,885,1
160,151,355,1
161,152,743,1
162,152,950,1
163,166,76,1
164,166,1127,1
165,166,0,1
166,166,921,1
167,168,1072,1
168,168,678,1
169,178,350,1
170,178,607,1
171,178,760,1
172,178,725,1
173,178,288,1
174,178,346,1
175,178,330,1
176,178,311,1
177,178,398,1
178,178,770,1
179,178,1054,1
180,178,484,1
181,178,262,1
182,178,744,1
183,178,274,1
184,178,48,1
185,178,485,1
186,178,798,1
187,179,1038,1
188,180,339,1
189,196,812,1
190,196,484,1
191,196,1177,1
192,196,858,1
193,198,469,1
194,198,658,1
195,198,923,1
196,198,1122,1
197,198,739,1
198,198,271,1
199,198,409,1
200,198,294,1
201,198,600,1
202,198,156,1
203,198,804,1
204,198,343,1
205,198,1057,1
206,198,1176,1
207,198,306,1
208,198,1171,1
209,198,1093,1
210,198,726,1
211,198,1124,1
212,198,376,1
213,198,729,1
214,198,951,1
215,198,1143,1
216,198,366,1
217,198,879,1
218,198,523,1
219,198,257,1
220,198,210,1
221,198,492,1
222,198,1101,1
223,198,1045,1
224,198,1184,1
225,198,942,1
226,198,510,1
227,198,75,1
228,198,174,1
229,198,481,1
230,198,240,1
231,198,404,1
232,198,215,1
233,198,1044,1
234,198,906,1
235,198,1072,1
236,198,900,1
237,198,304,1
238,198,439,1
239,198,805,1
240,198,555,1
241,198,1155,1
242,198,1116,1
243,198,1175,1
244,198,66,1
245,198,310,1
246,198,95,1
247,198,159,1
248,198,957,1
249,198,898,1
250,198,732,1
251,198,968,1
252,198,1106,1
253,198,151,1
254,198,1179,1
255,198,435,1
256,198,1174,1
257,198,463,1
258,198,150,1
259,198,506,1
260,198,1046,1
261,198,144,1
262,198,859,1
263,198,775,1
264,198,885,1
265,198,237,1
266,198,252,1
267,198,491,1
268,198,265,1
269,198,399,1
270,198,630,1
271,198,53,1
272,198,403,1
273,198,63,1
274,198,1021,1
275,198,976,1
276,198,350,1
277,198,381,1
278,198,899,1
279,198,1142,1
280,198,245,1
281,205,683,1
282,205,885,1
283,228,185,1
284,228,827,1
285,228,483,1
286,228,1146,1
287,228,918,1
288,228,68,1
289,228,1025,1
290,228,621,1
291,228,1096,1
292,240,1041,1
293,240,877,1
294,240,252,1
295,240,410,1
296,246,348,1
297,246,1054,1
298,246,87,1
299,246,312,1
300,246,865,1
301,246,476,1
302,246,944,1
303,246,823,1
304,246,846,1
305,246,794,1
306,246,599,1
307,246,630,1
308,246,74,1
309,246,576,1
310,246,757,1
311,246,166,1
312,246,898,1
313,246,857,1
314,246,645,1
315,246,697,1
316,246,233,1
317,246,300,1
318,246,547,1
319,246,868,1
320,246,79,1
321,246,711,1
322,246,40,1
323,246,75,1
324,246,655,1
325,246,703,1
326,246,161,1
327,246,69,1
328,246,1005,1
329,246,836,1
330,246,483,1
331,255,415,1
332,255,662,1
333,255,831,1
334,274,795,1
335,274,1054,1
336,274,9,1
337,274,178,1
338,277,1183,1
339,277,384,1
340,277,930,1
341,277,846,1
342,277,370,1
343,277,18,1
344,277,215,1
345,277,1041,1
346,277,724,1
347,277,549,1
348,277,428,1
349,277,596,1
350,277,953,1
351,277,962,1
352,277,1008,1
353,277,79,1
354,294,71,1
355,300,999,1
356,306,339,1
357,312,1096,1
358,339,184,1
359,339,1132,1
360,339,172,1
361,339,306,1
362,339,180,1
363,339,664,1
364,354,793,1
365,354,1147,1
366,354,683,1
367,354,1190,1
368,354,474,1
369,354,605,1
370,354,498,1
371,354,7,1
372,354,552,1
373,354,1138,1
374,354,525,1
375,354,726,1
376,354,405,1
377,354,936,1
378,354,125,1
379,354,206,1
380,354,798,1
381,354,762,1
382,354,1142,1
383,354,48,1
384,354,548,1
385,354,871,1
386,354,383,1
387,354,625,1
388,354,678,1
389,354,457,1
390,354,795,1
391,354,1106,1
392,354,1165,1
393,354,834,1
394,354,171,1
395,354,1131,1
396,384,979,1
397,384,858,1
398,384,196,1
399,384,65,1
400,384,439,1
401,384,1148,1
402,384,326,1
403,384,1187,1
404,384,463,1
405,384,3,1
406,384,229,1
407,384,930,1
408,384,1041,1
409,384,700,1
410,384,822,1
411,384,538,1
412,384,126,1
413,384,738,1
414,384,590,1
415,384,638,1
416,384,857,1
417,384,312,1
418,384,78,1
419,384,735,1
420,384,217,1
421,384,440,1
422,384,1200,1
423,384,164,1
424,384,57,1
425,384,1185,1
426,384,491,1
427,384,544,1
428,384,160,1
429,384,484,1
430,384,1035,1
431,384,846,1
432,384,426,1
433,384,575,1
434,384,291,1
435,384,1033,1
436,386,889,1
437,390,89,1
438,415,831,1
439,415,1146,1
440,415,575,1
441,415,662,1
442,419,864,1
443,419,527,1
444,419,1102,1
445,454,1156,1
446,454,179,1
447,460,168,1
448,460,972,1
449,460,166,1
450,460,327,1
451,460,921,1
452,460,104,1
453,479,666,1
454,480,1041,1
455,480,1156,1
456,483,18,1
457,483,858,1
458,483,648,1
459,483,1096,1
460,483,354,1
461,483,793,1
462,483,525,1
463,483,246,1
464,483,977,1
465,483,1147,1
466,483,575,1
467,483,675,1
468,483,330,1
469,483,484,1
470,525,405,1
471,525,171,1
472,525,683,1
473,525,884,1
474,525,484,1
475,525,256,1
476,525,366,1
477,525,628,1
478,525,9,1
479,525,607,1
480,525,726,1
481,525,605,1
482,525,678,1
483,525,936,1
484,525,483,1
485,525,134,1
486,525,798,1
487,525,552,1
488,525,1131,1
489,525,367,1
490,525,762,1
491,525,473,1
492,525,48,1
493,525,354,1
494,525,561,1
495,525,793,1
496,525,7,1
497,525,1190,1
498,525,1147,1
499,527,167,1
500,527,339,1
501,527,1146,1
502,527,1132,1
503,529,726,1
504,543,1192,1
505,543,931,1
506,575,415,1
507,575,1167,1
508,575,511,1
509,575,1011,1
510,579,261,1
511,579,1119,1
512,581,575,1
513,581,889,1
514,581,78,1
515,587,1041,1
516,587,108,1
517,587,367,1
518,587,1147,1
519,587,421,1
520,587,1082,1
521,587,977,1
522,589,228,1
523,621,711,1
524,621,1085,1
525,621,1025,1
526,641,2,1
527,648,936,1
528,648,325,1
529,648,366,1
530,648,726,1
531,648,398,1
532,648,48,1
533,648,871,1
534,648,4,1
535,648,1190,1
536,648,367,1
537,648,795,1
538,648,1147,1
539,648,552,1
540,648,474,1
541,648,683,1
542,648,628,1
543,648,134,1
544,648,7,1
545,648,725,1
546,648,548,1
547,648,1142,1
548,648,9,1
549,648,625,1
550,648,354,1
551,648,834,1
552,648,1165,1
553,648,665,1
554,648,798,1
555,648,1106,1
556,648,350,1
557,648,373,1
558,662,255,1
559,662,1146,1
560,662,415,1
561,662,1175,1
562,664,259,1
563,664,973,1
564,666,1027,1
565,666,1192,1
566,684,1156,1
567,684,827,1
568,685,474,1
569,714,100,1
