,TF,Target,Label
0,46,317,1
1,46,1018,1
2,46,451,1
3,48,455,1
4,64,826,1
5,64,528,1
6,64,600,1
7,118,719,1
8,118,857,1
9,129,306,1
10,130,636,1
11,130,514,1
12,130,109,1
13,130,922,1
14,130,118,1
15,130,452,1
16,130,32,1
17,130,762,1
18,130,852,1
19,130,740,1
20,130,71,1
21,130,244,1
22,130,46,1
23,130,1079,1
24,130,77,1
25,130,337,1
26,130,766,1
27,130,481,1
28,168,130,1
29,168,965,1
30,168,908,1
31,168,909,1
32,168,192,1
33,168,700,1
34,168,737,1
35,168,584,1
36,168,963,1
37,168,330,1
38,168,231,1
39,168,1075,1
40,168,681,1
41,168,544,1
42,168,348,1
43,168,307,1
44,168,110,1
45,168,143,1
46,168,380,1
47,168,317,1
48,168,866,1
49,168,277,1
50,168,431,1
51,168,913,1
52,171,912,1
53,171,883,1
54,171,356,1
55,171,231,1
56,171,197,1
57,171,168,1
58,171,766,1
59,171,791,1
60,176,542,1
61,176,288,1
62,176,41,1
63,176,507,1
64,176,407,1
65,176,578,1
66,176,463,1
67,176,754,1
68,176,272,1
69,176,543,1
70,176,289,1
71,176,957,1
72,176,1073,1
73,176,848,1
74,176,745,1
75,176,78,1
76,176,199,1
77,176,625,1
78,176,577,1
79,176,896,1
80,176,1051,1
81,176,979,1
82,176,506,1
83,176,81,1
84,176,822,1
85,176,746,1
86,176,639,1
87,176,666,1
88,176,1022,1
89,176,444,1
90,176,167,1
91,176,831,1
92,176,644,1
93,176,1060,1
94,176,984,1
95,176,642,1
96,179,299,1
97,184,744,1
98,184,644,1
99,184,165,1
100,184,605,1
101,184,344,1
102,184,955,1
103,184,81,1
104,184,167,1
105,184,41,1
106,184,857,1
107,184,78,1
108,184,183,1
109,184,578,1
110,184,272,1
111,184,642,1
112,184,562,1
113,184,187,1
114,184,507,1
115,184,712,1
116,184,1060,1
117,184,745,1
118,184,506,1
119,184,831,1
120,184,957,1
121,184,625,1
122,184,80,1
123,184,176,1
124,184,311,1
125,184,639,1
126,184,848,1
127,184,1075,1
128,184,37,1
129,184,896,1
130,184,1127,1
131,184,205,1
132,184,543,1
133,192,693,1
134,192,231,1
135,192,1022,1
136,192,758,1
137,192,1086,1
138,192,706,1
139,192,170,1
140,192,181,1
141,192,634,1
142,192,472,1
143,192,87,1
144,192,846,1
145,192,712,1
146,192,682,1
147,192,1024,1
148,192,841,1
149,192,824,1
150,192,886,1
151,192,240,1
152,192,273,1
153,192,778,1
154,192,349,1
155,192,724,1
156,192,369,1
157,192,497,1
158,192,832,1
159,192,49,1
160,192,409,1
161,192,900,1
162,192,1040,1
163,192,42,1
164,192,37,1
165,192,828,1
166,192,116,1
167,192,451,1
168,192,283,1
169,192,775,1
170,192,138,1
171,192,640,1
172,192,578,1
173,192,980,1
174,192,691,1
175,192,937,1
176,192,804,1
177,192,177,1
178,192,652,1
179,192,1064,1
180,192,55,1
181,192,169,1
182,192,109,1
183,192,209,1
184,192,476,1
185,192,203,1
186,192,908,1
187,192,1112,1
188,192,695,1
189,192,875,1
190,192,77,1
191,192,460,1
192,192,29,1
193,192,290,1
194,192,197,1
195,192,995,1
196,192,136,1
197,192,196,1
198,192,674,1
199,192,621,1
200,192,881,1
201,192,45,1
202,192,766,1
203,192,711,1
204,192,909,1
205,192,524,1
206,192,576,1
207,192,840,1
208,200,834,1
209,200,510,1
210,203,822,1
211,209,931,1
212,209,1009,1
213,209,1065,1
214,209,357,1
215,209,317,1
216,209,616,1
217,246,99,1
218,246,248,1
219,246,660,1
220,246,632,1
221,272,1060,1
222,272,857,1
223,272,639,1
224,272,542,1
225,272,712,1
226,272,822,1
227,272,167,1
228,272,444,1
229,272,831,1
230,272,289,1
231,272,288,1
232,272,1073,1
233,272,896,1
234,272,1074,1
235,272,955,1
236,272,1127,1
237,272,666,1
238,272,81,1
239,272,578,1
240,272,375,1
241,272,744,1
242,272,205,1
243,272,344,1
244,272,562,1
245,272,165,1
246,272,543,1
247,272,78,1
248,272,351,1
249,272,507,1
250,272,894,1
251,272,754,1
252,272,541,1
253,287,344,1
254,287,464,1
