,TF,Target,Label
0,46,422,1
1,58,281,1
2,58,380,1
3,66,422,1
4,76,398,1
5,76,536,1
6,76,541,1
7,76,233,1
8,76,171,1
9,76,44,1
10,76,222,1
11,76,552,1
12,85,118,1
13,85,510,1
14,85,82,1
15,85,439,1
16,85,399,1
17,85,483,1
18,85,50,1
19,85,74,1
20,85,382,1
21,85,348,1
22,85,293,1
23,85,180,1
24,111,407,1
25,111,459,1
26,118,283,1
27,118,135,1
28,118,551,1
29,118,530,1
30,118,401,1
31,118,396,1
32,118,422,1
33,118,466,1
34,118,522,1
35,118,525,1
36,118,78,1
37,118,42,1
38,135,302,1
39,145,190,1
40,145,116,1
41,145,213,1
42,145,68,1
43,145,216,1
44,155,557,1
45,155,410,1
46,155,236,1
47,155,358,1
48,155,279,1
49,155,49,1
50,155,60,1
51,155,80,1
52,155,481,1
53,155,343,1
54,155,472,1
55,155,257,1
56,155,223,1
57,155,44,1
58,155,123,1
59,155,20,1
60,155,312,1
61,155,419,1
62,155,276,1
63,155,509,1
64,180,379,1
65,192,379,1
66,213,216,1
67,213,145,1
68,213,60,1
69,213,257,1
70,213,68,1
71,213,190,1
72,216,96,1
73,216,554,1
74,216,145,1
75,216,257,1
76,216,190,1
77,216,131,1
78,223,267,1
79,233,416,1
80,233,422,1
81,237,406,1
82,251,492,1
83,252,53,1
84,252,531,1
85,252,361,1
86,252,445,1
87,252,302,1
88,277,335,1
89,277,422,1
90,283,118,1
91,284,335,1
92,284,233,1
93,302,56,1
94,302,252,1
95,302,497,1
96,302,392,1
97,302,357,1
98,302,445,1
99,302,361,1
100,302,426,1
101,320,233,1
102,320,531,1
103,320,28,1
104,320,509,1
105,320,468,1
106,320,369,1
107,320,483,1
108,320,451,1
109,320,497,1
110,320,522,1
111,320,551,1
112,320,6,1
113,320,452,1
114,320,361,1
115,320,30,1
116,320,131,1
117,320,257,1
118,320,554,1
119,320,183,1
120,320,0,1
121,320,309,1
122,324,515,1
123,324,27,1
124,324,123,1
125,324,118,1
126,324,334,1
127,335,284,1
128,335,277,1
129,392,252,1
130,392,286,1
131,416,39,1
132,416,192,1
133,416,550,1
134,416,0,1
135,416,368,1
136,416,58,1
137,416,466,1
138,422,530,1
139,426,339,1
140,426,69,1
141,459,518,1
142,459,525,1
143,530,379,1
144,530,397,1
145,530,320,1
146,530,233,1
147,530,367,1
148,541,76,1
149,550,237,1
150,550,531,1
151,550,351,1
152,550,367,1
153,46,126,0
154,58,225,0
155,58,102,0
156,66,17,0
157,76,480,0
158,76,310,0
159,76,510,0
160,76,425,0
161,76,412,0
162,76,327,0
163,76,35,0
164,76,22,0
165,85,517,0
166,85,375,0
167,85,475,0
168,85,377,0
169,85,320,0
170,85,553,0
171,85,161,0
172,85,369,0
173,85,433,0
174,85,512,0
175,85,304,0
176,85,364,0
177,111,348,0
178,111,226,0
179,118,484,0
180,118,57,0
181,118,201,0
182,118,546,0
183,118,187,0
184,118,288,0
185,118,481,0
186,118,554,0
187,118,240,0
188,118,335,0
189,118,315,0
190,118,284,0
191,135,129,0
192,145,318,0
193,145,541,0
194,145,433,0
195,145,509,0
196,145,184,0
197,155,118,0
198,155,368,0
199,155,17,0
200,155,303,0
201,155,26,0
202,155,367,0
203,155,554,0
204,155,128,0
205,155,35,0
206,155,314,0
207,155,365,0
208,155,523,0
209,155,42,0
210,155,298,0
211,155,190,0
212,155,8,0
213,155,74,0
214,155,73,0
215,155,233,0
216,155,112,0
217,180,333,0
218,192,428,0
219,213,29,0
220,213,451,0
221,213,493,0
222,213,61,0
223,213,318,0
224,213,259,0
225,216,408,0
226,216,455,0
227,216,420,0
228,216,212,0
229,216,520,0
230,216,509,0
231,223,219,0
232,233,133,0
233,233,427,0
234,237,458,0
235,251,348,0
236,252,47,0
237,252,55,0
238,252,156,0
239,252,398,0
240,252,421,0
241,277,488,0
242,277,395,0
243,283,50,0
244,284,31,0
245,284,445,0
246,302,124,0
247,302,91,0
248,302,406,0
249,302,83,0
250,302,345,0
251,302,477,0
252,302,81,0
253,302,104,0
254,320,326,0
255,320,442,0
256,320,433,0
257,320,226,0
258,320,494,0
259,320,36,0
260,320,55,0
261,320,87,0
262,320,204,0
263,320,506,0
264,320,559,0
265,320,286,0
266,320,473,0
267,320,75,0
268,320,85,0
269,320,68,0
270,320,119,0
271,320,456,0
272,320,261,0
273,320,426,0
274,320,114,0
275,324,289,0
276,324,403,0
277,324,537,0
278,324,413,0
279,324,97,0
280,335,501,0
281,335,505,0
282,392,542,0
283,392,504,0
284,416,363,0
285,416,356,0
286,416,480,0
287,416,304,0
288,416,512,0
289,416,149,0
290,416,26,0
291,422,508,0
292,426,315,0
293,426,553,0
294,459,501,0
295,459,131,0
296,530,71,0
297,530,295,0
298,530,394,0
299,530,489,0
300,530,39,0
301,541,516,0
302,550,543,0
303,550,370,0
304,550,148,0
305,550,354,0
