,TF,Target,Label
0,0,198,1
1,0,89,1
2,0,885,1
3,13,236,1
4,13,768,1
5,13,534,1
6,13,632,1
7,13,842,1
8,13,478,1
9,13,658,1
10,13,214,1
11,24,128,1
12,24,618,1
13,24,193,1
14,24,717,1
15,25,703,1
16,25,574,1
17,25,154,1
18,25,885,1
19,25,799,1
20,25,319,1
21,25,126,1
22,29,342,1
23,29,170,1
24,30,248,1
25,30,899,1
26,30,824,1
27,30,839,1
28,30,250,1
29,30,811,1
30,30,715,1
31,30,335,1
32,30,602,1
33,30,637,1
34,30,355,1
35,30,658,1
36,30,671,1
37,30,80,1
38,30,848,1
39,30,298,1
40,30,677,1
41,30,856,1
42,30,885,1
43,30,725,1
44,31,755,1
45,31,805,1
46,31,355,1
47,31,341,1
48,31,268,1
49,31,623,1
50,31,717,1
51,31,850,1
52,31,885,1
53,31,645,1
54,31,492,1
55,31,149,1
56,32,16,1
57,32,752,1
58,34,792,1
59,35,871,1
60,35,161,1
61,35,613,1
62,35,751,1
63,35,753,1
64,35,695,1
65,35,248,1
66,35,623,1
67,35,606,1
68,35,586,1
69,35,660,1
70,35,273,1
71,35,655,1
72,35,562,1
73,35,607,1
74,35,682,1
75,35,678,1
76,35,384,1
77,35,364,1
78,35,65,1
79,40,145,1
80,40,658,1
81,40,780,1
82,40,803,1
83,40,30,1
84,45,283,1
85,45,239,1
86,45,295,1
87,45,848,1
88,45,152,1
89,45,278,1
90,46,848,1
91,46,461,1
92,50,889,1
93,50,10,1
94,50,472,1
95,50,498,1
96,52,239,1
97,52,750,1
98,52,302,1
99,52,286,1
100,52,282,1
101,52,844,1
102,52,204,1
103,52,321,1
104,52,152,1
105,52,642,1
106,52,650,1
107,52,646,1
108,52,351,1
109,52,624,1
110,52,311,1
111,54,607,1
112,54,645,1
113,54,546,1
114,54,655,1
115,54,351,1
116,54,753,1
117,54,606,1
118,54,35,1
119,54,305,1
120,54,2,1
121,54,248,1
122,54,10,1
123,54,889,1
124,54,571,1
125,54,708,1
126,54,198,1
127,54,562,1
128,55,195,1
129,55,411,1
130,62,427,1
131,62,152,1
132,62,241,1
133,62,169,1
134,63,411,1
135,63,780,1
136,63,468,1
137,63,211,1
138,69,254,1
139,74,103,1
140,74,204,1
141,74,116,1
142,74,427,1
143,74,459,1
144,74,241,1
145,74,383,1
146,74,578,1
147,74,201,1
148,74,752,1
149,75,355,1
150,75,259,1
151,75,40,1
152,75,638,1
153,80,391,1
154,80,282,1
155,80,642,1
156,80,650,1
157,80,856,1
158,81,815,1
159,82,453,1
160,82,390,1
161,82,303,1
162,82,268,1
163,82,43,1
164,82,397,1
165,82,671,1
166,82,768,1
167,82,714,1
168,82,294,1
169,83,687,1
170,83,63,1
171,85,622,1
172,85,558,1
173,89,187,1
174,93,281,1
175,93,613,1
176,98,752,1
177,98,201,1
178,103,201,1
179,103,752,1
180,103,383,1
181,103,74,1
182,103,204,1
183,103,898,1
184,103,809,1
185,103,578,1
186,105,725,1
187,116,342,1
188,116,204,1
189,116,201,1
190,116,541,1
191,116,190,1
192,116,74,1
193,116,103,1
194,116,809,1
195,119,803,1
196,119,693,1
197,119,30,1
198,119,765,1
199,120,158,1
200,124,595,1
201,124,468,1
202,124,658,1
203,124,298,1
204,124,800,1
205,126,760,1
206,128,885,1
207,128,732,1
208,128,24,1
209,128,857,1
210,133,262,1
211,133,278,1
212,139,885,1
213,140,25,1
214,140,762,1
215,140,198,1
216,140,885,1
217,140,464,1
218,140,792,1
219,140,182,1
220,145,451,1
221,145,40,1
222,146,898,1
223,151,572,1
224,151,242,1
225,152,351,1
226,152,283,1
227,152,219,1
228,152,295,1
229,152,201,1
230,152,605,1
231,152,750,1
232,152,886,1
233,152,468,1
234,152,788,1
235,152,898,1
236,152,427,1
237,152,282,1
238,152,62,1
239,152,646,1
240,152,496,1
241,152,471,1
242,152,336,1
243,152,286,1
244,152,411,1
245,152,667,1
246,152,162,1
247,152,252,1
248,152,321,1
249,152,531,1
250,152,421,1
251,152,677,1
252,152,809,1
253,152,787,1
254,152,372,1
255,152,571,1
256,152,311,1
257,152,572,1
258,152,752,1
259,152,211,1
260,158,280,1
261,158,377,1
262,158,722,1
263,158,279,1
264,158,654,1
265,158,428,1
266,158,109,1
267,162,195,1
268,162,152,1
269,162,295,1
270,162,383,1
271,162,361,1
272,162,239,1
273,162,667,1
274,163,892,1
275,163,140,1
276,163,792,1
277,163,128,1
278,163,584,1
279,163,704,1
280,163,856,1
281,164,858,1
282,164,584,1
283,164,535,1
284,164,360,1
285,164,591,1
286,164,674,1
287,165,488,1
288,169,459,1
289,169,152,1
290,169,62,1
291,169,239,1
292,170,824,1
293,170,29,1
294,170,268,1
295,170,116,1
296,173,704,1
297,173,825,1
298,175,355,1
299,175,885,1
300,178,558,1
301,178,584,1
302,179,361,1
303,179,439,1
304,187,89,1
305,187,805,1
306,187,885,1
307,187,854,1
308,187,31,1
309,187,460,1
310,187,732,1
311,187,701,1
312,190,845,1
313,190,116,1
314,190,765,1
315,190,499,1
316,190,475,1
317,190,644,1
318,190,708,1
319,190,431,1
320,195,540,1
321,195,336,1
322,195,152,1
323,195,544,1
324,195,239,1
325,195,360,1
326,195,450,1
327,195,211,1
328,198,65,1
329,198,242,1
330,198,355,1
331,198,755,1
332,198,30,1
333,198,220,1
334,198,453,1
335,198,164,1
336,198,787,1
337,198,803,1
338,198,140,1
339,198,853,1
340,198,54,1
341,198,850,1
342,198,343,1
343,198,909,1
