,TF,Target,Label
0,0,1419,1
1,0,277,1
2,0,140,1
3,0,62,1
4,0,1442,1
5,0,1253,1
6,0,987,1
7,0,178,1
8,0,107,1
9,0,1307,1
10,0,789,1
11,0,1350,1
12,0,1267,1
13,0,209,1
14,0,344,1
15,0,748,1
16,2,884,1
17,2,403,1
18,2,607,1
19,2,608,1
20,2,316,1
21,2,1338,1
22,2,1328,1
23,3,445,1
24,3,1274,1
25,3,313,1
26,3,1094,1
27,5,798,1
28,5,1163,1
29,5,816,1
30,5,769,1
31,5,259,1
32,5,355,1
33,5,793,1
34,5,1075,1
35,5,307,1
36,5,565,1
37,5,947,1
38,5,817,1
39,5,1256,1
40,5,498,1
41,5,357,1
42,5,258,1
43,5,770,1
44,5,341,1
45,5,883,1
46,5,441,1
47,5,583,1
48,5,274,1
49,5,1326,1
50,5,642,1
51,5,458,1
52,5,493,1
53,5,930,1
54,5,482,1
55,5,1361,1
56,5,495,1
57,5,1424,1
58,5,435,1
59,7,334,1
60,7,1408,1
61,7,355,1
62,7,475,1
63,7,376,1
64,7,1216,1
65,7,1070,1
66,7,403,1
67,7,209,1
68,7,293,1
69,7,56,1
70,7,113,1
71,12,625,1
72,12,1154,1
73,12,757,1
74,16,873,1
75,16,864,1
76,16,380,1
77,16,1132,1
78,16,76,1
79,16,439,1
80,16,296,1
81,16,568,1
82,16,1309,1
83,16,668,1
84,16,492,1
85,16,779,1
86,16,1097,1
87,16,752,1
88,16,309,1
89,16,1130,1
90,17,837,1
91,19,1432,1
92,19,236,1
93,19,983,1
94,19,1369,1
95,19,56,1
96,20,125,1
97,20,1289,1
98,25,306,1
99,25,268,1
100,25,151,1
101,25,1320,1
102,25,769,1
103,25,1156,1
104,25,1029,1
105,25,28,1
106,25,491,1
107,28,91,1
108,28,1306,1
109,28,1132,1
110,28,1205,1
111,28,84,1
112,28,486,1
113,28,581,1
114,28,384,1
115,29,628,1
116,29,466,1
117,29,1350,1
118,29,455,1
119,29,428,1
120,29,957,1
121,29,69,1
122,29,915,1
123,29,664,1
124,29,1183,1
125,29,490,1
126,29,753,1
127,29,491,1
128,29,115,1
129,29,1319,1
130,29,1056,1
131,29,213,1
132,29,125,1
133,29,1338,1
134,29,608,1
135,40,1107,1
136,45,827,1
137,48,207,1
138,48,682,1
139,48,945,1
140,48,57,1
141,48,1068,1
142,48,1122,1
143,48,1294,1
144,48,1030,1
145,48,1377,1
146,48,1070,1
147,48,707,1
148,48,1075,1
149,48,243,1
