,TF,Target,Label
0,0,1143,1
1,0,187,1
2,0,732,1
3,0,11,1
4,0,14,1
5,0,1127,1
6,0,1179,1
7,0,1055,1
8,2,907,1
9,2,579,1
10,2,781,1
11,2,469,1
12,2,319,1
13,2,25,1
14,2,328,1
15,2,180,1
16,2,810,1
17,2,21,1
18,2,200,1
19,2,1019,1
20,2,4,1
21,2,148,1
22,2,570,1
23,2,607,1
24,2,585,1
25,2,114,1
26,2,884,1
27,2,1263,1
28,2,832,1
29,2,878,1
30,2,1312,1
31,2,1283,1
32,2,1020,1
33,2,1062,1
34,2,442,1
35,2,233,1
36,2,92,1
37,2,81,1
38,2,533,1
39,2,827,1
40,2,795,1
41,2,418,1
42,2,531,1
43,2,1055,1
44,8,1283,1
45,8,450,1
46,8,332,1
47,8,298,1
48,8,908,1
49,8,935,1
50,8,748,1
51,8,268,1
52,8,1083,1
53,8,1088,1
54,8,482,1
55,8,531,1
56,8,625,1
57,8,233,1
58,8,189,1
59,8,944,1
60,8,956,1
61,8,239,1
62,8,700,1
63,8,813,1
64,8,578,1
65,8,1168,1
66,8,570,1
67,8,1158,1
68,8,319,1
69,8,336,1
70,8,313,1
71,8,81,1
72,8,809,1
73,8,1076,1
74,8,114,1
75,8,884,1
76,8,827,1
77,8,489,1
78,11,996,1
79,11,192,1
80,11,0,1
81,11,1055,1
82,11,1118,1
83,11,1179,1
84,11,187,1
85,11,386,1
86,14,792,1
87,14,940,1
88,14,418,1
89,14,861,1
90,14,470,1
91,14,1312,1
92,14,1172,1
93,14,207,1
94,14,951,1
95,14,952,1
96,14,692,1
97,14,311,1
98,14,605,1
99,14,658,1
100,14,1310,1
101,14,380,1
102,14,1159,1
103,14,215,1
104,14,462,1
105,14,996,1
106,14,767,1
107,14,386,1
108,14,787,1
109,14,499,1
110,14,25,1
111,14,732,1
112,14,968,1
113,14,485,1
114,14,47,1
115,14,1181,1
116,14,1031,1
117,14,1106,1
118,14,20,1
119,14,725,1
120,14,851,1
121,14,1089,1
122,14,148,1
123,14,1238,1
124,14,1138,1
125,14,1014,1
126,14,1278,1
127,14,1277,1
128,14,1167,1
129,14,413,1
130,14,496,1
131,14,1118,1
132,14,81,1
133,14,40,1
134,14,702,1
135,14,37,1
136,14,1064,1
137,14,920,1
138,14,932,1
139,14,213,1
140,14,1290,1
141,14,938,1
142,14,1156,1
143,14,1055,1
144,14,781,1
145,14,628,1
146,14,455,1
147,14,229,1
148,14,927,1
149,14,724,1
150,14,650,1
151,14,1127,1
152,14,1057,1
153,14,789,1
154,15,544,1
155,15,831,1
156,15,705,1
157,15,1311,1
158,15,126,1
159,15,83,1
160,15,1283,1
161,15,578,1
162,15,1305,1
163,15,1237,1
164,15,736,1
165,15,1193,1
166,15,447,1
167,15,809,1
168,16,795,1
169,16,781,1
170,16,878,1
171,16,148,1
172,16,418,1
173,16,25,1
174,16,356,1
175,16,180,1
176,16,469,1
177,20,1181,1
178,20,1193,1
179,20,921,1
