,TF,Target,Label
0,2,79,1
1,2,71,1
2,2,328,1
3,2,163,1
4,2,743,1
5,2,1073,1
6,2,817,1
7,2,788,1
8,2,319,1
9,2,976,1
10,2,392,1
11,2,835,1
12,2,1033,1
13,2,40,1
14,2,262,1
15,2,775,1
16,2,369,1
17,2,887,1
18,4,189,1
19,4,917,1
20,4,754,1
21,4,185,1
22,4,976,1
23,4,645,1
24,4,258,1
25,4,68,1
26,4,700,1
27,4,89,1
28,4,328,1
29,4,165,1
30,4,628,1
31,4,118,1
32,4,642,1
33,4,948,1
34,4,79,1
35,4,1064,1
36,4,611,1
37,4,24,1
38,4,763,1
39,4,737,1
40,4,506,1
41,4,218,1
42,4,589,1
43,4,1065,1
44,4,171,1
45,4,141,1
46,4,679,1
47,4,843,1
48,4,460,1
49,4,1026,1
50,4,987,1
51,4,764,1
52,4,103,1
53,4,280,1
54,6,860,1
55,6,562,1
56,7,575,1
57,7,79,1
58,7,185,1
59,7,495,1
60,7,961,1
61,7,980,1
62,7,994,1
63,7,85,1
64,7,912,1
65,7,425,1
66,7,1042,1
67,7,772,1
68,8,908,1
69,8,1055,1
70,8,527,1
71,8,362,1
72,8,160,1
73,8,455,1
74,8,386,1
75,10,680,1
76,10,509,1
77,10,460,1
78,10,961,1
79,10,334,1
80,10,629,1
81,10,867,1
82,10,426,1
83,10,346,1
84,10,649,1
85,10,185,1
86,10,733,1
87,10,495,1
88,11,742,1
89,11,1079,1
90,14,724,1
91,15,1023,1
92,21,1041,1
93,21,998,1
94,21,443,1
95,21,196,1
96,21,655,1
97,21,921,1
98,21,48,1
99,21,293,1
100,21,653,1
101,21,54,1
102,21,1072,1
103,21,929,1
104,21,944,1
105,21,582,1
106,21,364,1
107,21,1115,1
108,21,1064,1
109,21,1008,1
110,21,843,1
111,21,1033,1
112,21,393,1
113,21,906,1
114,21,104,1
115,21,189,1
116,21,174,1
117,21,764,1
118,21,292,1
119,21,423,1
120,21,79,1
121,21,616,1
122,21,989,1
123,21,269,1
124,21,475,1
125,21,182,1
126,21,889,1
127,21,247,1
128,21,628,1
129,21,727,1
130,21,466,1
131,21,976,1
132,21,118,1
133,21,654,1
134,21,242,1
135,21,1081,1
136,21,775,1
137,21,402,1
138,21,990,1
139,24,1023,1
140,24,928,1
141,24,1065,1
142,24,287,1
143,24,34,1
144,24,660,1
145,24,292,1
146,24,941,1
147,24,245,1
148,24,1064,1
149,24,97,1
150,24,1032,1
151,24,1026,1
152,24,1061,1
153,24,976,1
154,24,247,1
155,24,595,1
156,24,944,1
157,24,989,1
158,24,21,1
159,24,393,1
160,24,242,1
161,24,728,1
162,24,782,1
163,31,495,1
164,31,961,1
165,31,528,1
166,31,407,1
167,31,575,1
168,31,987,1
169,31,912,1
170,31,85,1
171,31,980,1
172,31,745,1
173,31,460,1
174,31,1042,1
175,34,460,1
176,34,409,1
177,34,922,1
178,34,611,1
179,34,1064,1
180,34,245,1
181,34,789,1
182,34,167,1
183,34,189,1
184,34,1022,1
185,34,961,1
186,34,247,1
187,34,996,1
188,34,628,1
189,34,484,1
190,34,196,1
191,34,212,1
192,34,1081,1
193,34,998,1
194,34,764,1
195,34,595,1
196,34,645,1
197,34,495,1
198,34,867,1
199,34,411,1
200,34,589,1
201,34,782,1
202,34,118,1
203,34,1032,1
204,34,435,1
205,34,24,1
206,34,817,1
207,34,1111,1
208,34,369,1
209,34,664,1
210,34,944,1
211,34,889,1
212,34,79,1
213,34,1008,1
214,34,286,1
215,34,901,1
216,34,987,1
217,34,929,1
218,34,501,1
219,40,928,1
220,40,1065,1
221,40,2,1
222,42,171,1
223,43,589,1
224,43,987,1
225,43,495,1
226,43,185,1
227,48,655,1
228,48,846,1
229,48,648,1
230,48,1033,1
231,48,364,1
232,48,443,1
233,48,1002,1
234,48,475,1
