,TF,Target,Label
0,4,377,1
1,4,763,1
2,4,1058,1
3,4,1153,1
4,17,659,1
5,17,180,1
6,17,79,1
7,17,1037,1
8,17,860,1
9,17,1068,1
10,17,1198,1
11,17,932,1
12,17,955,1
13,17,255,1
14,17,471,1
15,17,714,1
16,17,793,1
17,17,890,1
18,17,806,1
19,17,1174,1
20,17,747,1
21,17,935,1
22,23,1176,1
23,23,750,1
24,23,1070,1
25,27,320,1
26,27,1118,1
27,27,709,1
28,27,151,1
29,30,157,1
30,30,588,1
31,30,444,1
32,30,790,1
33,30,237,1
34,30,992,1
35,30,198,1
36,30,732,1
37,30,1144,1
38,54,1018,1
39,54,1002,1
40,54,118,1
41,54,1050,1
42,59,1174,1
43,59,802,1
44,59,840,1
45,59,164,1
46,59,860,1
47,59,1031,1
48,59,430,1
49,59,1050,1
50,59,302,1
51,59,630,1
52,59,671,1
53,59,1120,1
54,59,1039,1
55,59,1061,1
56,59,199,1
57,59,416,1
58,59,17,1
59,72,951,1
60,72,849,1
61,72,311,1
62,72,795,1
63,72,180,1
64,72,307,1
65,72,559,1
66,72,806,1
67,78,215,1
68,78,335,1
69,78,577,1
70,79,1182,1
71,79,714,1
72,79,659,1
73,79,381,1
74,79,582,1
75,79,1148,1
76,79,17,1
77,79,555,1
78,79,307,1
79,79,180,1
80,79,1171,1
81,79,573,1
82,79,806,1
83,80,501,1
84,80,403,1
85,80,1091,1
86,80,106,1
87,80,870,1
88,82,162,1
89,82,770,1
90,82,751,1
91,82,234,1
92,82,685,1
93,82,719,1
94,82,835,1
95,82,341,1
96,82,877,1
97,82,1100,1
98,82,133,1
99,82,295,1
100,95,408,1
101,95,325,1
102,95,215,1
103,95,1111,1
104,95,1175,1
105,95,858,1
106,111,749,1
107,111,157,1
108,111,297,1
109,111,868,1
110,111,66,1
111,111,189,1
112,111,244,1
113,111,145,1
114,111,1135,1
115,111,234,1
116,111,965,1
117,111,444,1
118,111,350,1
119,111,1010,1
120,111,899,1
121,111,608,1
122,111,813,1
123,111,198,1
124,111,118,1
125,111,996,1
126,111,885,1
127,111,993,1
128,111,135,1
129,111,316,1
130,111,950,1
131,111,274,1
132,111,679,1
133,111,855,1
134,111,992,1
135,111,765,1
136,111,366,1
137,118,1063,1
138,118,234,1
139,118,265,1
140,118,1054,1
141,118,34,1
142,118,993,1
143,118,965,1
144,118,237,1
145,118,418,1
146,118,24,1
147,118,855,1
148,118,521,1
149,118,53,1
150,118,102,1
151,118,54,1
152,118,1135,1
153,118,477,1
154,118,748,1
155,118,992,1
156,118,111,1
157,118,280,1
158,118,950,1
159,118,1010,1
160,118,576,1
161,118,198,1
162,118,615,1
163,118,133,1
164,118,424,1
165,118,1095,1
166,118,537,1
167,118,732,1
168,118,1004,1
169,118,350,1
170,118,281,1
171,118,1130,1
172,118,66,1
173,118,315,1
174,118,157,1
175,118,1144,1
176,118,366,1
177,118,838,1
178,118,886,1
179,125,515,1
180,141,535,1
181,141,1013,1
182,141,510,1
183,141,1098,1
184,141,550,1
185,141,231,1
186,141,651,1
187,141,907,1
188,141,1074,1
189,141,96,1
190,141,444,1
191,141,540,1
192,141,143,1
193,143,1013,1
194,143,688,1
195,143,340,1
196,143,1044,1
197,143,1074,1
198,143,456,1
199,143,96,1
200,143,1098,1
201,143,501,1
202,143,106,1
203,143,597,1
204,143,779,1
205,143,434,1
206,143,120,1
207,143,552,1
208,143,221,1
209,143,389,1
210,151,658,1
211,151,110,1
212,151,786,1
213,151,394,1
214,151,582,1
215,151,417,1
216,155,821,1
217,155,926,1
218,161,298,1
219,161,480,1
220,162,82,1
221,162,1150,1
222,162,1100,1
223,180,932,1
224,180,709,1
225,180,714,1
226,180,191,1
227,180,17,1
228,180,454,1
229,180,1091,1
230,180,408,1
231,191,95,1
232,192,133,1
233,192,750,1
234,192,772,1
235,192,1070,1
236,202,482,1
237,202,677,1
238,206,963,1
239,206,914,1
240,206,966,1
241,206,43,1
242,206,975,1
243,206,793,1
244,206,988,1
245,206,145,1
246,206,338,1
247,206,189,1
248,206,53,1
249,206,301,1
250,206,861,1
251,206,992,1
252,206,9,1
253,206,690,1
254,206,1000,1
255,206,198,1
256,206,790,1
257,215,17,1
258,215,1180,1
259,215,233,1
260,215,971,1
261,215,403,1
262,215,307,1
263,215,290,1
264,215,415,1
265,215,806,1
266,216,1100,1
267,216,878,1
268,216,258,1
269,216,126,1
270,217,54,1
271,217,1031,1
272,220,1196,1
273,233,276,1
274,233,449,1
275,233,601,1
276,233,151,1
277,236,186,1
278,244,765,1
279,244,440,1
280,244,133,1
281,244,537,1
282,244,813,1
283,244,993,1
284,244,420,1
285,255,307,1
286,255,17,1
287,258,995,1
288,258,216,1
289,258,1100,1
290,267,202,1
291,267,444,1
292,267,992,1
293,267,145,1
294,267,157,1
295,267,350,1
296,267,679,1
297,276,582,1
298,276,714,1
299,276,233,1
300,276,786,1
301,290,215,1
302,290,233,1
303,290,1180,1
304,290,311,1
305,291,387,1
306,291,195,1
307,297,350,1
308,297,118,1
309,297,1095,1
310,297,477,1
311,297,588,1
312,297,827,1
313,297,424,1
314,297,933,1
315,297,66,1
316,297,157,1
317,297,24,1
318,297,886,1
319,297,53,1
320,297,679,1
321,297,48,1
322,297,537,1
323,297,950,1
324,297,274,1
325,297,965,1
326,297,868,1
327,297,1135,1
328,297,111,1
329,297,189,1
330,297,265,1
331,297,1004,1
332,297,576,1
333,297,1100,1
334,297,732,1
335,297,749,1
336,297,608,1
337,297,169,1
338,297,838,1
339,297,466,1
340,297,989,1
341,298,1061,1
342,298,161,1
343,306,338,1
344,306,670,1
345,306,861,1
346,306,583,1
347,306,56,1
348,307,126,1
349,307,659,1
350,307,995,1
351,307,541,1
352,307,72,1
353,307,79,1
354,307,17,1
355,307,1100,1
356,307,806,1
357,307,819,1
358,307,1198,1
359,307,1037,1
360,311,1037,1
361,311,72,1
362,311,582,1
363,325,610,1
364,332,806,1
365,332,215,1
366,332,72,1
367,332,615,1
368,335,756,1
369,335,670,1
370,340,1013,1
371,340,295,1
372,340,1165,1
373,340,798,1
374,340,1044,1
375,341,511,1
376,341,113,1
377,341,813,1
378,341,899,1
379,341,82,1
380,357,433,1
381,357,754,1
382,357,1150,1
383,357,835,1
384,357,1100,1
385,389,501,1
386,389,143,1
387,389,1013,1
388,389,1154,1
389,394,396,1
390,394,381,1
391,417,816,1
392,417,113,1
393,417,276,1
394,420,111,1
395,420,933,1
396,447,880,1
397,447,790,1
398,447,776,1
399,447,66,1
400,447,690,1
401,447,732,1
402,447,1122,1
403,447,444,1
404,447,998,1
405,447,1073,1
406,447,189,1
407,447,982,1
408,447,996,1
409,447,424,1
410,447,992,1
411,447,543,1
412,447,198,1
413,447,157,1
414,448,332,1
415,449,609,1
416,449,151,1
417,449,806,1
418,449,992,1
419,449,833,1
420,449,233,1
421,454,609,1
422,454,236,1
423,454,79,1
424,482,202,1
425,482,677,1
426,541,307,1
427,543,424,1
428,543,968,1
429,543,660,1
430,543,988,1
431,543,790,1
432,543,690,1
433,543,975,1
434,543,157,1
435,543,447,1
436,543,880,1
437,543,301,1
438,543,732,1
439,543,43,1
440,543,1073,1
441,543,315,1
442,543,679,1
443,543,648,1
444,543,992,1
445,543,206,1
446,543,803,1
447,543,338,1
448,543,444,1
449,543,1000,1
450,553,249,1
451,553,1005,1
452,553,60,1
453,555,1111,1
454,577,417,1
455,577,1176,1
456,577,706,1
457,577,833,1
458,577,335,1
459,577,78,1
460,577,670,1
461,577,291,1
462,582,1157,1
463,582,709,1
464,582,307,1
465,582,276,1
466,582,306,1
467,582,116,1
468,582,658,1
469,582,1118,1
470,582,160,1
471,582,592,1
472,588,440,1
473,588,313,1
474,588,868,1
475,588,424,1
476,588,608,1
477,588,434,1
478,588,950,1
479,588,679,1
480,588,102,1
481,588,1128,1
482,588,280,1
483,588,456,1
484,588,855,1
485,588,228,1
486,588,297,1
487,588,24,1
488,588,281,1
489,588,198,1
490,588,315,1
491,588,989,1
492,588,1010,1
493,588,43,1
494,588,886,1
495,588,933,1
496,588,418,1
497,588,749,1
498,588,521,1
499,588,790,1
500,588,1042,1
501,588,1130,1
502,588,1054,1
503,588,265,1
504,588,899,1
505,588,965,1
506,588,118,1
507,588,444,1
508,588,477,1
509,588,350,1
510,588,111,1
511,588,48,1
512,589,970,1
513,589,363,1
514,589,426,1
515,589,483,1
516,592,233,1
517,592,582,1
518,601,1157,1
519,601,582,1
520,602,436,1
521,605,501,1
522,605,106,1
523,605,870,1
524,605,120,1
525,605,1154,1
526,609,589,1
527,609,205,1
528,609,449,1
529,609,932,1
530,609,180,1
531,610,308,1
532,610,325,1
533,610,614,1
534,610,95,1
535,614,806,1
536,643,287,1
537,646,204,1
538,646,719,1
539,646,195,1
540,646,1150,1
541,646,387,1
542,646,1100,1
543,646,225,1
544,646,925,1
545,658,151,1
546,658,714,1
547,670,756,1
548,670,468,1
549,670,306,1
550,670,335,1
551,672,816,1
552,673,180,1
553,677,992,1
554,677,679,1
555,677,274,1
556,677,418,1
557,677,482,1
558,677,510,1
559,677,1004,1
560,677,1083,1
561,677,169,1
562,677,202,1
563,685,393,1
564,685,82,1
565,685,1100,1
566,685,1150,1
567,686,477,1
568,686,454,1
569,686,679,1
570,686,992,1
571,706,577,1
572,706,721,1
573,706,434,1
574,706,688,1
575,709,582,1
576,709,180,1
577,714,721,1
578,714,57,1
579,714,180,1
580,714,1037,1
581,714,276,1
582,714,1175,1
583,714,703,1
584,714,307,1
585,714,1083,1
586,714,79,1
587,714,992,1
588,714,145,1
589,719,204,1
590,719,1120,1
591,719,629,1
592,719,422,1
593,719,133,1
594,719,889,1
595,719,511,1
596,719,886,1
597,719,899,1
598,719,780,1
599,719,537,1
600,719,925,1
601,721,449,1
602,721,706,1
603,721,101,1
604,721,1070,1
605,721,714,1
606,749,989,1
607,749,950,1
608,749,838,1
609,749,133,1
610,749,583,1
611,749,157,1
612,749,615,1
613,749,111,1
614,749,732,1
615,749,748,1
616,749,297,1
617,749,424,1
618,749,1135,1
619,749,975,1
620,749,237,1
621,749,440,1
622,749,1054,1
623,749,313,1
624,749,66,1
625,749,521,1
626,749,576,1
627,749,418,1
628,749,760,1
629,749,145,1
630,749,1042,1
631,749,366,1
632,749,608,1
633,749,899,1
634,749,993,1
635,749,1130,1
636,749,537,1
637,749,885,1
638,750,313,1
639,750,192,1
640,750,1100,1
641,750,1150,1
642,750,751,1
643,750,23,1
644,750,995,1
645,751,835,1
646,751,584,1
647,751,750,1
648,751,1150,1
649,756,670,1
650,756,78,1
651,763,1058,1
652,763,741,1
653,763,307,1
654,763,4,1
655,763,1171,1
656,765,420,1
657,765,993,1
658,765,111,1
659,765,813,1
660,765,234,1
661,765,244,1
662,765,770,1
663,770,341,1
664,770,100,1
665,770,993,1
666,770,320,1
667,770,537,1
668,770,813,1
669,770,302,1
670,770,295,1
671,770,440,1
672,770,1100,1
673,770,765,1
674,770,234,1
675,770,995,1
676,772,192,1
677,772,133,1
678,784,735,1
679,786,442,1
680,786,276,1
681,802,1039,1
682,802,344,1
683,802,59,1
684,802,1018,1
685,806,835,1
686,806,515,1
687,806,714,1
688,806,307,1
689,806,1100,1
690,806,609,1
691,806,614,1
692,806,1037,1
693,806,449,1
694,806,1150,1
695,807,631,1
696,813,770,1
697,813,244,1
698,813,113,1
699,813,341,1
700,813,234,1
701,816,995,1
702,816,878,1
703,816,672,1
704,816,417,1
705,819,849,1
706,819,541,1
707,819,161,1
708,819,480,1
709,819,978,1
710,833,577,1
711,833,461,1
712,834,82,1
713,834,877,1
714,835,806,1
715,835,1150,1
716,835,750,1
717,835,754,1
718,835,1100,1
719,835,751,1
720,835,195,1
721,840,344,1
722,840,1120,1
723,840,877,1
724,840,1031,1
725,840,103,1
726,840,302,1
727,840,1018,1
728,840,554,1
729,840,1039,1
730,868,297,1
731,868,790,1
732,868,228,1
733,868,1130,1
734,868,265,1
735,868,732,1
736,868,24,1
737,868,1095,1
738,868,66,1
739,868,1128,1
740,868,118,1
741,868,748,1
742,868,933,1
743,868,993,1
744,868,827,1
745,868,1054,1
746,868,280,1
747,868,521,1
748,868,169,1
749,868,608,1
750,868,157,1
751,868,466,1
752,868,281,1
753,868,855,1
754,868,1004,1
755,868,145,1
756,868,198,1
757,868,576,1
758,868,679,1
759,868,1010,1
760,868,989,1
761,868,48,1
762,868,111,1
763,868,234,1
764,870,1091,1
765,870,150,1
766,870,501,1
767,870,80,1
768,870,120,1
769,877,164,1
770,877,310,1
771,877,240,1
772,877,302,1
773,877,840,1
774,877,264,1
775,877,834,1
776,877,345,1
777,877,344,1
778,877,635,1
779,877,1170,1
780,877,901,1
781,877,990,1
782,877,88,1
783,877,82,1
784,877,1039,1
785,878,816,1
786,878,126,1
787,878,672,1
788,878,216,1
789,890,17,1
790,932,609,1
791,932,601,1
792,932,1157,1
793,932,180,1
794,938,577,1
795,939,120,1
796,939,690,1
797,939,57,1
798,939,198,1
799,939,975,1
800,939,790,1
801,939,9,1
802,939,53,1
803,939,510,1
804,939,583,1
805,939,732,1
806,939,206,1
807,939,43,1
808,939,434,1
809,939,550,1
810,939,315,1
811,939,145,1
812,939,106,1
813,939,1128,1
814,939,992,1
815,939,739,1
816,939,963,1
817,939,444,1
818,939,966,1
819,939,803,1
820,939,1154,1
821,951,577,1
822,951,72,1
823,965,281,1
824,965,993,1
825,965,950,1
826,965,466,1
827,965,366,1
828,965,145,1
829,965,608,1
830,965,1135,1
831,965,992,1
832,965,265,1
833,965,53,1
834,965,424,1
835,965,440,1
836,965,1095,1
837,965,228,1
838,965,885,1
839,965,576,1
840,965,975,1
841,965,588,1
842,965,749,1
843,965,1042,1
844,965,868,1
845,965,444,1
846,965,418,1
847,965,315,1
848,965,297,1
849,965,996,1
850,965,24,1
851,965,57,1
852,965,234,1
853,965,537,1
854,965,157,1
855,965,43,1
856,965,989,1
857,978,819,1
858,1008,1070,1
859,1008,885,1
860,1014,355,1
861,1037,1101,1
862,1037,806,1
863,1037,1198,1
864,1037,849,1
865,1037,714,1
866,1037,819,1
867,1037,307,1
868,1042,576,1
869,1042,885,1
870,1042,133,1
871,1042,749,1
872,1042,1054,1
873,1042,297,1
874,1042,118,1
875,1042,1130,1
876,1042,418,1
877,1042,1135,1
878,1042,234,1
879,1042,965,1
880,1042,838,1
881,1042,993,1
882,1042,868,1
883,1053,290,1
884,1053,605,1
885,1058,704,1
886,1058,628,1
887,1058,589,1
888,1058,363,1
889,1058,970,1
890,1058,763,1
891,1058,1151,1
892,1070,750,1
893,1070,23,1
894,1070,1004,1
895,1070,1008,1
896,1070,886,1
897,1070,995,1
898,1083,449,1
899,1083,566,1
900,1083,111,1
901,1083,290,1
902,1083,215,1
903,1083,1180,1
904,1085,609,1
905,1092,1100,1
906,1092,835,1
907,1092,357,1
908,1092,195,1
909,1092,1114,1
910,1093,270,1
911,1100,719,1
912,1100,225,1
913,1100,780,1
914,1100,770,1
915,1100,751,1
916,1100,133,1
917,1100,204,1
918,1100,511,1
919,1100,754,1
920,1100,258,1
921,1100,357,1
922,1100,307,1
923,1100,479,1
924,1100,393,1
925,1100,422,1
926,1100,889,1
927,1100,345,1
928,1100,886,1
929,1100,537,1
930,1100,1150,1
931,1100,573,1
932,1100,877,1
933,1100,433,1
934,1100,685,1
935,1100,1092,1
936,1100,750,1
937,1101,1037,1
938,1101,17,1
939,1101,1198,1
940,1111,738,1
941,1111,555,1
942,1114,1150,1
943,1114,835,1
944,1114,357,1
945,1114,1196,1
946,1114,1100,1
947,1118,27,1
948,1118,582,1
949,1137,925,1
950,1137,1150,1
951,1137,204,1
952,1137,604,1
953,1137,225,1
954,1137,780,1
955,1137,629,1
956,1142,17,1
957,1150,195,1
958,1150,889,1
959,1150,750,1
960,1150,204,1
961,1150,162,1
962,1150,433,1
963,1150,82,1
964,1150,685,1
965,1150,925,1
966,1150,835,1
967,1150,751,1
968,1150,1114,1
969,1150,1137,1
970,1153,4,1
971,1157,932,1
972,1157,601,1
973,1175,584,1
974,1175,95,1
975,1175,714,1
976,1177,1074,1
977,1177,688,1
978,1177,907,1
979,1177,651,1
980,1177,540,1
981,1177,143,1
982,1177,550,1
983,1177,456,1
984,1177,510,1
985,1177,847,1
986,1177,1098,1
987,1177,552,1
988,1196,877,1
989,1196,990,1
990,1196,630,1
991,1196,220,1
992,1198,1037,1
993,1198,1101,1
994,1198,79,1
995,1198,307,1
996,1200,157,1
997,1200,388,1
998,4,292,0
999,4,395,0
1000,4,552,0
1001,4,495,0
1002,17,668,0
1003,17,498,0
1004,17,952,0
1005,17,647,0
1006,17,776,0
1007,17,823,0
1008,17,643,0
1009,17,607,0
1010,17,987,0
1011,17,562,0
1012,17,313,0
1013,17,349,0
1014,17,242,0
1015,17,891,0
1016,17,906,0
1017,17,454,0
1018,17,461,0
1019,17,1093,0
1020,23,740,0
1021,23,478,0
1022,23,89,0
1023,27,87,0
1024,27,386,0
1025,27,452,0
1026,27,934,0
1027,30,1093,0
1028,30,915,0
1029,30,268,0
1030,30,250,0
1031,30,666,0
1032,30,278,0
1033,30,882,0
1034,30,862,0
1035,30,300,0
1036,54,419,0
1037,54,562,0
1038,54,936,0
1039,54,1013,0
1040,59,1153,0
1041,59,578,0
1042,59,889,0
1043,59,909,0
1044,59,453,0
1045,59,1021,0
1046,59,1096,0
1047,59,976,0
1048,59,1094,0
1049,59,1192,0
1050,59,752,0
1051,59,943,0
1052,59,154,0
1053,59,638,0
1054,59,838,0
1055,59,928,0
1056,59,691,0
1057,72,403,0
1058,72,191,0
1059,72,197,0
1060,72,28,0
1061,72,160,0
1062,72,549,0
1063,72,628,0
1064,72,198,0
1065,78,1068,0
1066,78,146,0
1067,78,1178,0
1068,79,1,0
1069,79,846,0
1070,79,833,0
1071,79,190,0
1072,79,938,0
1073,79,387,0
1074,79,375,0
1075,79,593,0
1076,79,371,0
1077,79,216,0
1078,79,324,0
1079,79,256,0
1080,79,871,0
1081,80,638,0
1082,80,104,0
1083,80,46,0
1084,80,830,0
1085,80,945,0
1086,82,1185,0
1087,82,561,0
1088,82,166,0
1089,82,386,0
1090,82,548,0
1091,82,413,0
1092,82,819,0
1093,82,1076,0
1094,82,501,0
1095,82,55,0
1096,82,471,0
1097,82,703,0
1098,95,240,0
1099,95,361,0
1100,95,131,0
1101,95,217,0
1102,95,580,0
1103,95,1197,0
1104,111,83,0
1105,111,789,0
1106,111,920,0
1107,111,1044,0
1108,111,769,0
1109,111,336,0
1110,111,543,0
1111,111,58,0
1112,111,539,0
1113,111,86,0
1114,111,999,0
1115,111,973,0
1116,111,87,0
1117,111,883,0
1118,111,338,0
1119,111,212,0
1120,111,570,0
1121,111,201,0
1122,111,446,0
1123,111,587,0
1124,111,1136,0
1125,111,734,0
1126,111,1104,0
1127,111,243,0
1128,111,1031,0
1129,111,1077,0
1130,111,486,0
1131,111,1008,0
1132,111,678,0
1133,111,127,0
1134,111,373,0
1135,118,802,0
1136,118,724,0
1137,118,966,0
1138,118,1119,0
1139,118,1180,0
1140,118,485,0
1141,118,620,0
1142,118,386,0
1143,118,248,0
1144,118,842,0
1145,118,131,0
1146,118,203,0
1147,118,570,0
1148,118,1115,0
1149,118,1155,0
1150,118,1184,0
1151,118,1158,0
1152,118,358,0
1153,118,175,0
1154,118,1064,0
1155,118,863,0
1156,118,394,0
1157,118,945,0
1158,118,881,0
