,TF,Target,Label
0,14,529,1
1,14,1014,1
2,14,442,1
3,14,660,1
4,14,577,1
5,14,412,1
6,14,632,1
7,14,659,1
8,35,616,1
9,35,85,1
10,35,688,1
11,35,460,1
12,35,763,1
13,35,661,1
14,35,706,1
15,35,874,1
16,38,145,1
17,38,1108,1
18,38,815,1
19,38,564,1
20,38,1110,1
21,38,309,1
22,38,473,1
23,38,1018,1
24,38,1096,1
25,59,791,1
26,75,688,1
27,75,467,1
28,75,35,1
29,75,397,1
30,75,72,1
31,75,596,1
32,85,661,1
33,85,840,1
34,85,688,1
35,85,21,1
36,85,1028,1
37,85,618,1
38,85,993,1
39,85,35,1
40,108,1106,1
41,128,951,1
42,128,353,1
43,138,9,1
44,138,1111,1
45,138,275,1
46,138,329,1
47,162,990,1
48,162,502,1
49,171,862,1
50,175,1037,1
51,175,574,1
52,175,924,1
53,175,781,1
54,175,145,1
55,175,819,1
56,175,1108,1
57,175,1085,1
58,175,676,1
59,175,825,1
60,175,1096,1
61,175,473,1
62,175,895,1
63,175,444,1
64,175,192,1
65,175,863,1
66,175,1092,1
67,175,1032,1
68,175,815,1
69,175,952,1
70,253,505,1
71,253,339,1
72,257,283,1
73,257,1106,1
74,257,660,1
75,267,784,1
76,297,704,1
77,297,1019,1
78,297,637,1
79,297,520,1
80,297,542,1
81,297,179,1
82,297,373,1
83,299,784,1
84,299,412,1
85,302,532,1
86,302,556,1
87,311,846,1
88,311,1113,1
89,311,1115,1
90,311,637,1
91,311,422,1
92,311,520,1
93,311,828,1
94,311,372,1
95,311,1018,1
96,311,546,1
97,311,297,1
98,311,994,1
99,311,163,1
100,311,863,1
101,311,39,1
102,311,1082,1
103,311,751,1
104,311,564,1
105,311,895,1
106,311,1092,1
107,311,924,1
108,311,1110,1
109,311,952,1
110,311,687,1
111,311,904,1
112,311,574,1
113,311,951,1
114,311,473,1
115,311,825,1
116,311,226,1
117,311,103,1
118,319,507,1
119,319,435,1
120,333,691,1
121,348,786,1
122,348,1115,1
123,356,786,1
124,356,1125,1
125,356,784,1
126,356,1011,1
127,356,311,1
128,356,824,1
129,356,953,1
130,360,637,1
131,360,181,1
132,360,704,1
133,360,179,1
134,360,658,1
135,360,1044,1
136,360,616,1
137,360,963,1
138,360,846,1
139,387,926,1
140,387,1102,1
141,387,870,1
142,387,438,1
143,387,498,1
144,387,672,1
145,387,889,1
146,387,435,1
147,387,617,1
148,387,352,1
149,387,957,1
150,387,77,1
151,387,191,1
152,387,728,1
153,387,450,1
154,387,212,1
155,387,1048,1
156,387,93,1
157,387,1111,1
158,387,221,1
159,387,573,1
160,392,163,1
161,392,952,1
162,392,145,1
163,392,1096,1
164,392,819,1
165,392,26,1
166,392,328,1
167,406,7,1
168,406,468,1
169,406,1081,1
