,TF,Target,Label
0,7,10,1
1,7,88,1
2,7,547,1
3,10,508,1
4,24,313,1
5,57,498,1
6,63,274,1
7,63,556,1
8,63,363,1
9,63,558,1
10,63,292,1
11,63,219,1
12,63,230,1
13,65,88,1
14,65,98,1
15,77,182,1
16,77,493,1
17,98,365,1
18,98,117,1
19,98,250,1
20,98,88,1
21,98,448,1
22,98,508,1
23,98,113,1
24,138,556,1
25,138,540,1
26,140,480,1
27,140,523,1
28,181,349,1
29,182,223,1
30,182,508,1
31,182,2,1
32,182,86,1
33,240,547,1
34,242,98,1
35,275,532,1
36,292,172,1
37,292,439,1
38,292,558,1
39,292,554,1
40,292,274,1
41,292,63,1
42,292,530,1
43,313,24,1
44,316,27,1
45,316,399,1
46,316,182,1
47,316,506,1
48,349,556,1
49,349,480,1
50,376,538,1
51,383,420,1
52,399,316,1
53,420,383,1
54,422,7,1
55,422,131,1
56,480,186,1
57,480,182,1
58,480,556,1
59,480,523,1
60,488,523,1
61,508,10,1
62,508,182,1
63,518,558,1
64,518,219,1
65,518,63,1
66,518,230,1
67,518,556,1
68,518,363,1
69,518,554,1
70,522,403,1
71,523,86,1
72,523,480,1
73,523,508,1
74,523,341,1
75,540,138,1
76,547,7,1
77,547,422,1
78,552,44,1
79,7,218,0
80,7,361,0
81,7,440,0
82,10,351,0
83,24,46,0
84,57,540,0
85,63,109,0
86,63,243,0
87,63,340,0
88,63,142,0
89,63,275,0
90,63,335,0
91,63,405,0
92,65,101,0
93,65,263,0
94,77,338,0
95,77,272,0
96,98,0,0
97,98,214,0
98,98,483,0
99,98,393,0
100,98,246,0
101,98,89,0
102,98,557,0
103,138,86,0
104,138,252,0
105,140,530,0
106,140,323,0
107,181,52,0
108,182,197,0
109,182,64,0
110,182,535,0
111,182,276,0
112,240,435,0
113,242,236,0
114,275,465,0
115,292,325,0
116,292,150,0
117,292,375,0
118,292,222,0
119,292,74,0
120,292,358,0
121,292,264,0
122,313,39,0
123,316,29,0
124,316,120,0
125,316,360,0
126,316,19,0
127,349,156,0
128,349,390,0
129,376,100,0
130,383,76,0
131,399,357,0
132,420,389,0
133,422,313,0
134,422,207,0
135,480,172,0
136,480,352,0
137,480,428,0
138,480,199,0
139,488,306,0
140,508,412,0
141,508,425,0
142,518,229,0
143,518,547,0
144,518,261,0
145,518,365,0
146,518,421,0
147,518,141,0
148,518,432,0
149,522,287,0
150,523,273,0
151,523,398,0
152,523,411,0
153,523,359,0
154,540,54,0
155,547,501,0
156,547,558,0
157,552,130,0
