network,type,num,TFs,pairs
STRING,hESC,500,410,69045
STRING,hESC,1000,410,93689
STRING,hHEP,500,448,104017
STRING,hHEP,1000,448,142400
STRING,mDC,500,321,50796
STRING,mDC,1000,321,71758
STRING,mESC,500,620,123893
STRING,mESC,1000,620,152948
STRING,mHSC-E,500,204,18918
STRING,mHSC-E,1000,204,26566
STRING,mHSC-GM,500,132,7889
STRING,mHSC-GM,1000,132,14434
STRING,mHSC-L,500,60,1272
STRING,mHSC-L,1000,60,1622
Specific,hESC,500,34,30906
Specific,hESC,1000,34,47906
Specific,hHEP,500,30,28410
Specific,hHEP,1000,31,44857
Specific,mDC,500,20,16400
Specific,mDC,1000,21,27720
Specific,mESC,500,88,98472
Specific,mESC,1000,89,144091
Specific,mHSC-E,500,29,20387
Specific,mHSC-E,1000,33,39699
Specific,mHSC-GM,500,22,13882
Specific,mHSC-GM,1000,23,26013
Specific,mHSC-L,500,16,8944
Specific,mHSC-L,1000,16,11056
Non-Specific,hESC,500,410,80873
Non-Specific,hESC,1000,410,121499
Non-Specific,hHEP,500,448,103059
Non-Specific,hHEP,1000,448,150958
Non-Specific,mDC,500,321,61373
Non-Specific,mDC,1000,321,91144
Non-Specific,mESC,500,620,172413
Non-Specific,mESC,1000,620,228616
Non-Specific,mHSC-E,500,204,24924
Non-Specific,mHSC-E,1000,204,37327
Non-Specific,mHSC-GM,500,132,9977
Non-Specific,mHSC-GM,1000,132,18275
Non-Specific,mHSC-L,500,60,2460
Non-Specific,mHSC-L,1000,60,3120
